dataset,Method,Model,Dimensions,Raw R2,Transformed R2,R2 Retention,dR2,Raw RMSE,Transformed RMSE,RMSE Ratio,Reconstruction R2 (known-pair ridge),Worst Attribute Leakage,Known-Pair Robustness
banking_d200,gw_q64,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.8371499293763026,0.8627240292207826,-0.1332068911340264,0.4936299119209428,1.1566497095268993,2.3442390140602165,0.8802850801451996,0.9453126736750314,partial_recovery_with_enough_pairs
banking_d200,gw_q16_rot,HistGradientBoostingRegressor,200.0,0.9703568205103288,0.6311078956730497,0.6503876563579976,-0.3392489248372791,0.4936299119209428,1.7410289371395933,3.528082106388197,0.8526005788030998,0.9127484918767274,partial_recovery_with_enough_pairs
banking_d200,gw_q16_p90_rot,HistGradientBoostingRegressor,180.0,0.9703568205103288,0.5922355358524557,0.6103328002547252,-0.3781212846578732,0.4936299119209428,1.8299409398715332,3.709097867766309,0.7482707703092073,0.8370318354093914,partial_recovery_with_enough_pairs
banking_d200,gw_q16_p80_rot,HistGradientBoostingRegressor,160.0,0.9703568205103288,0.5666427694932301,0.5839480411997288,-0.4037140510170987,0.4936299119209428,1.8867495734341169,3.821889721577785,0.6449658176026785,0.7361038627075067,partial_recovery_with_enough_pairs
banking_d200,gw_q16_p70_rot,HistGradientBoostingRegressor,140.0,0.9703568205103288,0.5343847674327734,0.5507007789365505,-0.4359720530775555,0.4936299119209428,1.9562523403019572,3.96232388555166,0.550439323345982,0.6486333866416226,partial_recovery_with_enough_pairs
banking_d200,gw_q16_p50_rot,HistGradientBoostingRegressor,100.0,0.9703568205103288,0.4351463231294568,0.4484330043688782,-0.5352104973808719,0.4936299119209428,2.154446729902204,4.364426959767818,0.3701515827672015,0.4830033919175174,resistant_in_tested_budget
banking_d200,bn50,HistGradientBoostingRegressor,100.0,0.9703568205103288,0.9780948672296614,1.0079754155357648,0.0077380467193326,0.4936299119209428,0.4240903815277083,0.8598834194364637,0.8806812971244469,0.9698702380132672,partial_recovery_with_enough_pairs
banking_d200,bn50_rot,HistGradientBoostingRegressor,100.0,0.9703568205103288,0.9781513149952964,1.0080332767052245,0.0077944944849675,0.4936299119209428,0.423645095499924,0.858727272632892,0.8806812971244465,0.9698702380132675,partial_recovery_with_enough_pairs
banking_d200,bn50_q16_rot,HistGradientBoostingRegressor,100.0,0.9703568205103288,0.9766514068743948,1.0064875508924624,0.0062945863640657,0.4936299119209428,0.4379838796127493,0.8877248910720198,0.8190892182900976,0.9560132085076066,partial_recovery_with_enough_pairs
banking_d200,bn50_adv_rot,HistGradientBoostingRegressor,100.0,0.9703568205103288,0.9773100567678558,1.0071659367110095,0.0069532362575269,0.4936299119209428,0.4318383665098117,0.874974830263923,0.8512571803990361,0.9522648963360546,partial_recovery_with_enough_pairs
